handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_fc01f222-d6d3-aa2c-f514-32e97a777a3e,Product,Tenor Horn Bandmaster alemán,"<div><strong>Tenor Horn Bandmaster</strong></div><div>Segunda mano - Fabricado en Alemania.</div><p>Revisado, rotores, bombas. Todo funcionando.</p><p>Con evidentes detalles estéticos, rayaduras, golpecitos, nada que afecta su sonido.</p><p>Con estuche rígido.</p><p>&nbsp;</p>",c7f112_1d6046dee6b4439fb29174b7e5f8af49~mv2.jpg;c7f112_483bb9d83d814f2c8abd025818c81b07~mv2.jpg;c7f112_351cc0bdfeea4b67a351ffeca42a619a~mv2.jpg;c7f112_588e6ce28f874dfa93ce71e9daa7552e~mv2.jpg;c7f112_91839c6178b245faaa2d643300544592~mv2.jpg;c7f112_991fd6b6c8b74d4584c6d14076d836df~mv2.jpg;c7f112_33419310588f4e3dad28ad1f3dfe4003~mv2.jpg,Instrumentos Segunda Mano;Otros Vientos Segunda Mano,,,500.0,,true,PERCENT,0.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bandmaster
product_69bd9c1b-a3a1-19e6-a8ae-46a7800c0c61,Product,Boquilla Lawton metálica 6 Star B saxo alto,"<p><strong>Boquilla Lawton metálica 6&nbsp;Star B&nbsp;para saxo alto</strong></p><p>Nuevas!</p><p>Abertura 6*&nbsp;</p><p>Fabricadas en UK</p><p>Excelente boquilla para Rock, Funk, Pop, Blues, Jazz moderno</p><p>&nbsp;</p><p>Características principales:</p><p><em>🎷 </em><strong><em>Precisión Perfeccionada :</em></strong><em> Creado utilizando tecnología de diseño por ordenador de última generación que garantiza que cada detalle está optimizado para garantizar un producto impecable en todo momento. </em></p><p><em>🎷 </em><strong><em>Tono rico y dinámico:</em></strong><em> Experimenta un sonido pleno y resonante que aúna tradición e innovación, haciendo que tu tono personal destaque de verdad. </em></p><p><em>🎷 </em><strong><em>Ejecución sin esfuerzo:</em></strong><em> El diseño ergonómico te permite soplar libremente, haciendo que tus sesiones de práctica y actuación sean pan comido.</em></p><p><em>🎷</em><strong><em>Entonación y articulación mejoradas:</em></strong><em> Nuestro avanzado diseño garantiza que disfrutes de una entonación consistente y una articulación precisa en todo el rango del saxofón.</em></p><p><em>🎷</em><strong><em>Estética moderna:</em></strong><em> Nuestro elegante y moderno diseño de boquilla y abrazadera garantiza que destaques entre la multitud. </em></p><p><em>🎷</em><strong><em>Extras añadidos:</em></strong><em> Todos los modelos vienen con una resistente bolsa protectora acolchada de marca y 6 almohadillas para la boquilla.</em></p>",c7f112_445708aa4cc641c3844afaea884b4387~mv2.jpg;c7f112_04f384687d32454495eb91ee000cc590~mv2.jpg;c7f112_27d8e1184d6a4b2d8fd319923e64dfe5~mv2.jpg;c7f112_d86f7a1444a54857a90960ef4fed33f4~mv2.jpg,Boquillas Saxo Alto,,,360.0,,true,PERCENT,0.0,InStock,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawton
product_cbc6818d-140a-b858-ba17-b980b93ebb1d,Product,Boquilla Lawton metálica 7 Star B saxo tenor,"<p><strong>Boquilla Lawton metálica 7 Star B&nbsp;para saxo tenor</strong></p><p>Nuevas!</p><p>Abertura 7*&nbsp;</p><p>Fabricadas en UK</p><p>Excelente boquilla para Rock, Funk, Pop, Blues, Jazz moderno</p><p>&nbsp;</p><p>Características principales:</p><p><em>🎷 </em><strong><em>Precisión Perfeccionada :</em></strong><em> Creado utilizando tecnología de diseño por ordenador de última generación que garantiza que cada detalle está optimizado para garantizar un producto impecable en todo momento. </em></p><p><em>🎷 </em><strong><em>Tono rico y dinámico:</em></strong><em> Experimenta un sonido pleno y resonante que aúna tradición e innovación, haciendo que tu tono personal destaque de verdad. </em></p><p><em>🎷 </em><strong><em>Ejecución sin esfuerzo:</em></strong><em> El diseño ergonómico te permite soplar libremente, haciendo que tus sesiones de práctica y actuación sean pan comido.</em></p><p><em>🎷</em><strong><em>Entonación y articulación mejoradas:</em></strong><em> Nuestro avanzado diseño garantiza que disfrutes de una entonación consistente y una articulación precisa en todo el rango del saxofón.</em></p><p><em>🎷</em><strong><em>Estética moderna:</em></strong><em> Nuestro elegante y moderno diseño de boquilla y abrazadera garantiza que destaques entre la multitud. </em></p><p><em>🎷</em><strong><em>Extras añadidos:</em></strong><em> Todos los modelos vienen con una resistente bolsa protectora acolchada de marca y 6 almohadillas para la boquilla.</em></p>",c7f112_6fa34a0294e6488a8a00f5a0985fdd8c~mv2.jpg;c7f112_37aa174540934344898f02fc9b2bfaa3~mv2.jpg;c7f112_5ddbce1a89e44be1b7d9386e43a362b2~mv2.jpg;c7f112_7e4ba54904e34b99b5577c3d05ba8192~mv2.jpg;c7f112_27d8e1184d6a4b2d8fd319923e64dfe5~mv2.jpg;c7f112_d86f7a1444a54857a90960ef4fed33f4~mv2.jpg,Boquillas Saxo Tenor,,,380.0,,true,PERCENT,0.0,InStock,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawton
product_e71bbc4a-32b4-ffd0-07dd-a969e2d708c5,Product,Boquilla Otto Link NY Super Tone Master 8 saxo tenor,<p><strong>Boquilla Otto Link Super Tone Master 8 saxo tenor</strong></p><p><strong>Modelo NY</strong></p><p>Incluye su abrazadera y boquillero&nbsp;originales.</p><p>Rieles y punta en perfecto estado.</p><p>&nbsp;</p>,c7f112_077c05c8ad554c5480b29f2a52703a1e~mv2.jpg;c7f112_e12c6a61aa014dd18266986ded0ff7e8~mv2.jpg;c7f112_5ab3680449aa4c569777c4511a1bb2a1~mv2.jpg;c7f112_34bd9f60ceb549d0b5d1c7b6c0ce314e~mv2.jpg,Boquillas Segunda Mano,,,200.0,,true,PERCENT,0.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otto Link
product_2f1ed8e1-c865-6dbf-be7e-7f7b0c065256,Product,Boquilla Dennis Wick 9BS tudel pequeño para trombón,<p>Boquilla Dennis Wick 9BS&nbsp;para trombón</p><p>Dorada.</p><p>Calibre pequeño.</p><p>Fabricada en USA.</p>,c7f112_6880b7767d5446d288749f7ff5e64a11~mv2.jpg;c7f112_7ab0da3434354196a0266d724de57cc3~mv2.jpg;c7f112_f77e3fa2819d44f1805d33c71559e790~mv2.jpg,Boquillas Segunda Mano,,,80.0,,true,PERCENT,0.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denis Wick
product_759e929c-7254-1038-f440-9085dae35377,Product,Trombón Bach Stradivarius 36,"<p><strong>Trombón tenor a varas Bach Stradivarius 36</strong></p><p>&nbsp;</p><p>Calibre pequeño - Sin traspositor.</p><p>Hecho en&nbsp;USA - Segunda mano</p><p>En&nbsp;buen estado. Con algunos detalles estéticos.</p><p>La vara corre bien,&nbsp;bomba&nbsp;de afinación y&nbsp;desagüe, todo perfecto.</p><p>Serie #12xxx&nbsp;</p><p>Incluye estuche&nbsp;rígido</p>",c7f112_4734694541c24978b5d52ab06008c87f~mv2.jpg;c7f112_9252e330db0b4768916a806a21c1858f~mv2.jpg;c7f112_07f62abf751f4463891e7d9b36dba294~mv2.jpg;c7f112_1dc4fb60c3fc4a829a29eeadaf074a6f~mv2.jpg;c7f112_4d17ae8a20cf4cfeb945367990ca8c9d~mv2.jpg;c7f112_e698e405a1d34f789c6968ba4f76787b~mv2.jpg;c7f112_95798e5aa7054039ae34094ea520574e~mv2.jpg;c7f112_4db6bf44b7d84f1dafe5daf647876dae~mv2.jpg;c7f112_7c3303d4b5634dc0a7b27f1d234112a1~mv2.jpg,Instrumentos Segunda Mano;Trombón Segunda Mano,,,2000.0,,true,PERCENT,0.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bach
product_59a5911b-037d-9750-77e7-9bfb58479240,Product,Boquilla Dukoff Miami Florida M9* para saxo barítono,<p><strong>Boquilla Dukoff Miami Florida M9*&nbsp;para saxo barítono</strong></p><p>&nbsp;</p><p>Boquilla vintage hecha por el mismo Bobby Dukoff&nbsp;</p><p>&nbsp;</p>,c7f112_8545b05fd2f54c08bb761ac84f3a6150~mv2.jpg;c7f112_5d2620f241c44346aeb34703edc54c06~mv2.jpg;c7f112_2d215ec6877c4114872df1560a4e49fd~mv2.jpg;c7f112_fc6b69cad962471793c32d26a611db8d~mv2.jpg;c7f112_153ae5258c1b4942b3f44038ba7c2263~mv2.jpg;c7f112_4cafa12768304f0caca2f5888e09b430~mv2.jpg,Boquillas Segunda Mano,,,300.0,,true,PERCENT,0.0,InStock,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dukoff
product_d1396d0f-317b-6f6b-3779-26230369d86f,Product,Flauta travesera Yamaha YFL-381-II Cabezal de plata,<p>Flauta travesera Yamaha YFL-381 II</p><p>Cabezal de plata maciza&nbsp;</p><p>Cuerpo y pata bañadas en plata</p><p>Hecha en Japón - Usada</p><p>Llaves abiertas - Sol alineado</p><p>Funciona todo perfectamente - Lista&nbsp;para tocar</p><p>Estuche original Yamaha</p><p>&nbsp;</p>,c7f112_a8f4e74b9f1d4eb1967566d40a4b5d83~mv2.jpg;c7f112_ad6494a9fe9f44fca8aa6157565cf95c~mv2.jpg;c7f112_b08b0505617649678d37e7bc60f80399~mv2.jpg;c7f112_ec7d7541889f43c08aec6934047d88f9~mv2.jpg;c7f112_5b7afdd17315458d95a742d198fb1bd4~mv2.jpg;c7f112_23fa6c92f7ee4503be4a2ae1bc73894e~mv2.jpg;c7f112_91180abbc08642cd86c25fe7785067b4~mv2.jpg,Flauta Segunda Mano;Instrumentos Segunda Mano,,,750.0,,true,PERCENT,0.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamaha
product_67cc2a7d-2171-2484-bd01-c6618941a1b1,Product,"Saxo tenor Buescher Aristocrat 157 ""Big Bell"" 400 #355xxx","<p><strong>Saxo tenor Buescher&nbsp;Aristocrat 157</strong></p><p>Número de serie 355xxx.</p><p>Fabricado en USA en 1959.</p><p>Modelo profesional de Buescher, con campana grande&nbsp;""Big Bell"". Características sonoras parecidas al Top Hat and Cane. Un sonido aterciopelado súper bonito.</p><p>La digitación es increíblememte cómoda para un saxo vintage.</p><p>Revisado en nuestro taller. Listo para tocar.&nbsp;</p><p>Con estuche con la forma del saxo, tipo mochila, muy ligero.</p>",c7f112_84d1ccd6f07140ea8bbdbc3dcde36413~mv2.jpg;c7f112_9bf5c8f2a5f7423ab4b5a78ef670c1df~mv2.jpg;c7f112_6ee63cec97fc4c0fadce67bf05bc95f9~mv2.jpg;c7f112_3482b65b6a6d42ec8e48ab1a0a4da024~mv2.jpg;c7f112_26ceefce718048618b42834b612795fa~mv2.jpg;c7f112_67abffb70c0e4014bf8a3eae8d55488f~mv2.jpg;c7f112_34b23d719c2a44a193297d0d86de5e4e~mv2.jpg;c7f112_8ef355e9965340efb97ee99630e97b4d~mv2.jpg,Instrumentos Segunda Mano;Saxo tenor Segunda Mano,,,2900.0,,true,PERCENT,0.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buescher
product_e5a5445e-bb25-d4cd-5e6f-ccc6cf4afcb6,Product,"Trombón King 2104 ""4B"" U.S.A.","<p><strong>Trombón King 4B</strong></p><p><strong>Con transpositor</strong></p><p>Hecho en&nbsp;USA</p><p>Calibre grande</p><p>Diámetro campana: 22,8cm</p><p>Diámetro leadpipe: 142mm</p><p>Tubería .547</p><p>Buen funcionamiento de la vara.</p><p>Buen estado general.</p><p>Incluye estuche King original</p>",c7f112_038187e1dec24bd8b0b34419150cf495~mv2.jpg;c7f112_d5c7e39b47c14d0b83a3486b9cf630aa~mv2.jpg;c7f112_79e9690a10574cdc86e8a263d1245f5d~mv2.jpg;c7f112_94ed4014708f4b14acc1bb5b149ecaae~mv2.jpg;c7f112_19be86480bd14a268427f8192cbc2cc6~mv2.jpg;c7f112_668f86cee617473eac56f2a99c997aa8~mv2.jpg,Instrumentos Segunda Mano;Trombón Segunda Mano,,,1600.0,,true,PERCENT,0.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,King
